,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,9.0,0,0,3.56
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,6.0,0,2,5.33
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77,10.0,0,3,4.00
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,6.0,0,1,4.50
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,5.0,0,1,5.60
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,8.50
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,10.0,0,3,6.00
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.60
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.80
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77,7.0,0,3,4.43
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,5.00
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,5.0,0,0,6.80
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,5.0,0,1,6.20
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,9.0,0,2,5.11
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,8.0,0,2,5.38
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,7.0,1,0,7.29
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,5.0,0,0,6.40
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,6.71
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,10.0,0,1,7.00
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.30
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.5,0,0,4.97
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.50
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,8.0,0,0,4.38
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,5.0,0,1,7.40
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,9.0,0,2,3.33
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,3.90
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,10.0,1,2,5.10
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-6,6.0,0,0,10.00
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,10.0,1,3,4.90
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,5.3,0,0,7.09
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,5.83
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,5.2,0,1,4.50
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,8.0,0,1,5.25
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,8.0,0,2,6.25
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,2.0,0,1,7.00
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,4.0,0,1,5.75
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-6,5.0,0,0,9.40
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.20
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,5.86
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,6.0,0,0,5.17
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,3.90
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,4.0,0,2,7.00
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,4.60
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,5.0,0,1,7.80
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,10.0,1,2,4.90
45,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,5.0,0,0,6.80
46,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,5.00
47,Matches/MatchScorecard_ODI.asp?MatchCode=4358,54,8.0,1,2,6.25
48,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,6.80
49,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,8.0,0,2,5.50
50,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,6.00
51,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.00
52,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.50
