,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,2.0,0,0,13.50
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,4.0,0,1,10.50
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,6.57
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.2,0,1,6.21
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.10
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,3.90
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,31,10.0,1,1,4.40
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,9.0,0,1,6.00
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,8.4,0,1,4.85
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,31,8.0,1,1,3.63
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.30
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,35,10.0,2,1,3.90
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,6.3,0,1,4.62
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,8.0,0,2,6.50
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,6.0,0,1,7.67
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,6.44
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,33,8.0,1,1,2.63
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,6.40
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,2.0,0,2,4.50
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,9.0,0,0,6.89
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,73,10.0,0,3,7.90
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-4,6.0,0,0,8.33
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,2.00
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,4.20
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,7.3,0,1,5.33
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,8.0,0,0,5.13
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,56,10.0,1,2,3.70
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,8.0,0,1,7.63
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,7.0,0,2,4.00
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.30
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,5.60
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,7.0,0,0,4.57
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,5.2,1,1,4.69
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,3.80
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,9.3,0,3,5.16
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,10.0,0,1,3.00
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.2,0,0,4.85
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,5.0,0,1,3.40
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,3.0,0,0,6.67
