,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,10386,10.0,2,3,3.90
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,76958,8.0,0,0,4.50
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77186,8.0,2,1,5.13
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77333,7.0,1,2,6.00
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77621,10.0,1,4,4.40
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,77927,10.0,0,1,5.30
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,78180,10.0,1,0,4.10
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,78412,10.0,2,2,3.30
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,78545,10.0,0,1,4.00
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,78826,10.0,0,1,7.60
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79307,8.0,0,0,7.25
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79462,10.0,0,1,4.00
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79909,9.0,0,1,5.44
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,80317,7.0,0,1,5.43
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,80689,10.0,0,0,3.20
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,81121,10.0,1,0,5.00
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,81433,10.0,0,0,5.90
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,81728,10.0,0,1,4.20
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,82250,10.0,0,1,5.70
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,82714,10.0,1,1,3.40
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,82897,10.0,0,1,3.80
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,83088,10.0,0,1,6.40
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,83447,10.0,0,1,4.80
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,83917,10.0,0,1,4.90
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,84244,10.0,0,1,5.00
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,84689,9.0,0,0,4.78
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,85218,10.0,0,1,3.60
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,85368,10.0,0,2,5.30
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,85907,5.0,0,0,9.80
