,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,51838,10.0,0,2,6.10
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,74125,8.0,0,1,2.88
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,74553,6.3,1,3,3.69
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,74943,10.0,1,1,3.20
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75112,10.0,0,1,7.00
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,121330,8.0,0,1,4.25
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,121581,10.0,0,1,3.80
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,121887,8.2,4,4,3.12
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,121964,7.0,0,1,5.71
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,122309,9.0,0,3,5.00
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,151931,6.0,0,2,3.50
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,166983,6.0,2,0,2.50
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,167106,7.0,0,1,7.57
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,167576,4.0,1,0,2.75
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,168709,2.0,0,0,6.50
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,196193,8.0,0,1,8.00
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,196330,10.0,1,2,5.50
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,206975,6.1,1,2,4.22
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,221218,8.0,0,3,5.50
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,230879,8.0,1,2,5.75
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,231082,8.0,1,1,4.38
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,231383,10.0,2,4,1.90
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,231602,7.0,3,2,1.57
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,256880,9.0,0,1,5.78
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,257548,7.0,0,0,4.29
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,260023,7.0,1,0,5.14
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,263590,8.0,0,2,2.75
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,263747,10.0,1,1,4.00
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,264069,8.0,1,3,4.13
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,264212,8.0,0,1,5.38
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,264363,10.0,0,2,6.30
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,264415,10.0,0,0,5.80
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,264631,9.0,1,3,3.56
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,264813,7.0,1,1,3.71
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,264979,4.0,0,1,6.75
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,265341,10.0,1,5,4.50
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,265529,5.0,0,1,3.40
