,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,1,1,7.30
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,7.0,0,1,4.86
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,4.30
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,75,6.1,0,3,4.86
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,133,10.0,0,5,5.50
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,5.0,0,1,7.20
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,52,10.0,0,2,4.40
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,10.0,1,1,5.20
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,10.0,0,0,4.50
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,58,9.0,2,2,6.00
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,9.0,0,1,4.00
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,23,7.5,0,1,7.28
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,7.0,0,1,5.43
