,Match_id,Score,Overs,Maidens,Wicket,Economy
0,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,4.20
1,Matches/MatchScorecard_ODI.asp?MatchCode=4358,143,10.0,1,5,2.10
2,Matches/MatchScorecard_ODI.asp?MatchCode=4358,85,9.5,2,3,3.97
3,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,6.0,1,0,6.83
4,Matches/MatchScorecard_ODI.asp?MatchCode=4358,114,10.0,2,4,4.10
5,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,10.0,0,0,7.10
6,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,6.20
7,Matches/MatchScorecard_ODI.asp?MatchCode=4358,31,10.0,1,1,4.10
8,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,7.0,1,1,4.86
9,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,5.0,0,0,5.20
10,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,8.0,1,0,4.88
11,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,8.0,0,0,3.50
12,Matches/MatchScorecard_ODI.asp?MatchCode=4358,87,10.0,2,3,2.80
13,Matches/MatchScorecard_ODI.asp?MatchCode=4358,87,10.0,2,3,3.30
14,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,10.0,1,1,4.70
15,Matches/MatchScorecard_ODI.asp?MatchCode=4358,60,10.0,1,2,2.10
16,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,6.10
17,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,7.0,0,1,5.57
18,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,5.60
19,Matches/MatchScorecard_ODI.asp?MatchCode=4358,50,10.0,0,2,6.20
20,Matches/MatchScorecard_ODI.asp?MatchCode=4358,2,9.0,0,0,4.44
21,Matches/MatchScorecard_ODI.asp?MatchCode=4358,58,10.0,2,2,5.40
22,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,6.0,0,1,5.00
23,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,4.0,0,0,7.00
24,Matches/MatchScorecard_ODI.asp?MatchCode=4358,56,10.0,1,2,4.50
25,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.20
26,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,8.0,0,1,5.88
27,Matches/MatchScorecard_ODI.asp?MatchCode=4358,108,10.0,0,4,3.20
28,Matches/MatchScorecard_ODI.asp?MatchCode=4358,79,10.0,1,3,6.60
29,Matches/MatchScorecard_ODI.asp?MatchCode=4358,33,10.0,1,1,3.10
30,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,10.0,0,1,3.80
31,Matches/MatchScorecard_ODI.asp?MatchCode=4358,27,6.0,0,1,3.50
32,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.50
33,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,7.0,1,0,9.71
34,Matches/MatchScorecard_ODI.asp?MatchCode=4358,62,10.0,3,2,4.90
35,Matches/MatchScorecard_ODI.asp?MatchCode=4358,33,8.5,1,1,2.94
36,Matches/MatchScorecard_ODI.asp?MatchCode=4358,31,9.0,1,1,4.00
37,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,6.0,1,0,5.50
38,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,5.00
39,Matches/MatchScorecard_ODI.asp?MatchCode=4358,8,7.1,1,0,3.21
40,Matches/MatchScorecard_ODI.asp?MatchCode=4358,33,9.0,1,1,3.11
41,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,10.0,0,1,2.70
42,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,10.0,0,0,3.20
43,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,5.0,1,1,4.60
44,Matches/MatchScorecard_ODI.asp?MatchCode=4358,85,10.0,2,3,3.60
45,Matches/MatchScorecard_ODI.asp?MatchCode=4358,62,9.0,3,2,5.67
46,Matches/MatchScorecard_ODI.asp?MatchCode=4358,0,10.0,0,0,4.60
47,Matches/MatchScorecard_ODI.asp?MatchCode=4358,112,10.0,1,4,3.10
48,Matches/MatchScorecard_ODI.asp?MatchCode=4358,112,10.0,1,4,3.00
49,Matches/MatchScorecard_ODI.asp?MatchCode=4358,8,8.0,1,0,3.25
50,Matches/MatchScorecard_ODI.asp?MatchCode=4358,4,9.3,1,0,4.95
51,Matches/MatchScorecard_ODI.asp?MatchCode=4358,58,10.0,2,2,6.00
52,Matches/MatchScorecard_ODI.asp?MatchCode=4358,25,10.0,0,1,4.90
53,Matches/MatchScorecard_ODI.asp?MatchCode=4358,29,6.0,1,1,5.50
54,Matches/MatchScorecard_ODI.asp?MatchCode=4358,33,9.0,1,1,3.22
55,Matches/MatchScorecard_ODI.asp?MatchCode=4358,64,6.0,2,2,2.00
56,Matches/MatchScorecard_ODI.asp?MatchCode=4358,-2,10.0,0,0,7.40
