,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4410,2020-11-02
1,Matches/MatchScorecard_T20.asp?MatchCode=1070,2020-10-01
2,Matches/MatchScorecard_ODI.asp?MatchCode=4406,2020-08-02
3,Matches/MatchScorecard_T20.asp?MatchCode=1069,2020-07-01
4,Matches/MatchScorecard_T20.asp?MatchCode=1068,2020-05-01
5,Matches/MatchScorecard_T20.asp?MatchCode=1081,2020-02-02
6,Matches/MatchScorecard_T20.asp?MatchCode=1080,2020-01-31
7,Matches/MatchScorecard_ODI.asp?MatchCode=4400,2020-01-19
8,Matches/MatchScorecard_ODI.asp?MatchCode=4399,2020-01-17
9,Matches/MatchScorecard_ODI.asp?MatchCode=4388,2019-12-22
10,Matches/MatchScorecard_T20.asp?MatchCode=0926,2019-09-22
11,Matches/MatchScorecard_T20.asp?MatchCode=0921,2019-09-18
12,Matches/MatchScorecard_T20.asp?MatchCode=0877,2019-06-08
13,Matches/MatchScorecard_T20.asp?MatchCode=0874,2019-04-08
14,Matches/MatchScorecard_T20.asp?MatchCode=0872,2019-03-08
