matchid,date
../Matches/MatchScorecard_T20.asp?MatchCode=1028,2019-10-29
../Matches/MatchScorecard_T20.asp?MatchCode=1024,2019-10-27
../Matches/MatchScorecard_T20.asp?MatchCode=1015,2019-10-26
../Matches/MatchScorecard_T20.asp?MatchCode=1005,2019-10-24
../Matches/MatchScorecard_T20.asp?MatchCode=0998,2019-10-22
../Matches/MatchScorecard_T20.asp?MatchCode=0969,2019-10-19
../Matches/MatchScorecard_T20.asp?MatchCode=0962,2019-10-18
../Matches/MatchScorecard_T20.asp?MatchCode=0951,2019-10-10
../Matches/MatchScorecard_T20.asp?MatchCode=0949,2019-09-10
../Matches/MatchScorecard_T20.asp?MatchCode=0944,2019-07-10
../Matches/MatchScorecard_T20.asp?MatchCode=0841,2019-06-25
../Matches/MatchScorecard_T20.asp?MatchCode=0840,2019-06-23
../Matches/MatchScorecard_ODI.asp?MatchCode=4330,2019-06-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4327,2019-06-19
../Matches/MatchScorecard_T20.asp?MatchCode=0940,2019-05-10
../Matches/MatchScorecard_T20.asp?MatchCode=0761,2019-02-17
../Matches/MatchScorecard_T20.asp?MatchCode=0759,2019-02-15
../Matches/MatchScorecard_T20.asp?MatchCode=0746,2019-02-13
../Matches/MatchScorecard_T20.asp?MatchCode=1039,2019-02-11
../Matches/MatchScorecard_T20.asp?MatchCode=1036,2019-01-11
../Matches/MatchScorecard_T20.asp?MatchCode=0688,2018-06-13
../Matches/MatchScorecard_T20.asp?MatchCode=0598,2017-01-18
../Matches/MatchScorecard_T20.asp?MatchCode=0596,2017-01-17
../Matches/MatchScorecard_T20.asp?MatchCode=0593,2017-01-15
../Matches/MatchScorecard_T20.asp?MatchCode=0542,2016-11-03
../Matches/MatchScorecard_T20.asp?MatchCode=0537,2016-09-03
../Matches/MatchScorecard_T20.asp?MatchCode=0546,2016-03-13
../Matches/MatchScorecard_T20.asp?MatchCode=0443,2015-12-07
../Matches/MatchScorecard_T20.asp?MatchCode=0442,2015-11-07
../Matches/MatchScorecard_T20.asp?MatchCode=0440,2015-09-07
../Matches/MatchScorecard_T20.asp?MatchCode=0457,2015-07-25
../Matches/MatchScorecard_T20.asp?MatchCode=0436,2015-03-07
../Matches/MatchScorecard_T20.asp?MatchCode=0172,2010-10-05
../Matches/MatchScorecard_T20.asp?MatchCode=0179,2010-05-19
../Matches/MatchScorecard_T20.asp?MatchCode=0163,2010-05-05
../Matches/MatchScorecard_ODI.asp?MatchCode=3117,2010-03-06
../Matches/MatchScorecard_ODI.asp?MatchCode=3093,2010-02-27
../Matches/MatchScorecard_ODI.asp?MatchCode=3092,2010-02-24
../Matches/MatchScorecard_T20.asp?MatchCode=0156,2010-02-05
../Matches/MatchScorecard_ODI.asp?MatchCode=3059,2009-11-27
../Matches/MatchScorecard_ODI.asp?MatchCode=3058,2009-11-22
../Matches/MatchScorecard_T20.asp?MatchCode=0127,2009-11-15
../Matches/MatchScorecard_T20.asp?MatchCode=0126,2009-11-13
../Matches/MatchScorecard_T20.asp?MatchCode=0104,2009-11-06
../Matches/MatchScorecard_ODI.asp?MatchCode=3055,2009-10-11
../Matches/MatchScorecard_ODI.asp?MatchCode=3027,2009-09-27
../Matches/MatchScorecard_ODI.asp?MatchCode=3022,2009-09-24
../Matches/MatchScorecard_ODI.asp?MatchCode=3020,2009-09-22
../Matches/MatchScorecard_T20.asp?MatchCode=0100,2009-09-06
../Matches/MatchScorecard_ODI.asp?MatchCode=2961,2009-09-04
../Matches/MatchScorecard_T20.asp?MatchCode=0095,2009-07-06
../Matches/MatchScorecard_T20.asp?MatchCode=0115,2009-06-18
../Matches/MatchScorecard_T20.asp?MatchCode=0114,2009-06-16
../Matches/MatchScorecard_T20.asp?MatchCode=0107,2009-06-13
../Matches/MatchScorecard_ODI.asp?MatchCode=2956,2009-05-04
../Matches/MatchScorecard_ODI.asp?MatchCode=2963,2009-04-17
../Matches/MatchScorecard_ODI.asp?MatchCode=2962,2009-04-13
../Matches/MatchScorecard_T20.asp?MatchCode=0089,2009-03-29
