matchid,date
../Matches/MatchScorecard_T20.asp?MatchCode=1082,2020-12-02
../Matches/MatchScorecard_T20.asp?MatchCode=1087,2020-02-16
../Matches/MatchScorecard_T20.asp?MatchCode=1084,2020-02-14
../Matches/MatchScorecard_ODI.asp?MatchCode=4354,2019-11-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4292,2019-11-05
../Matches/MatchScorecard_ODI.asp?MatchCode=4314,2019-08-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4287,2019-08-05
../Matches/MatchScorecard_ODI.asp?MatchCode=4355,2019-07-14
../Matches/MatchScorecard_ODI.asp?MatchCode=4342,2019-06-30
../Matches/MatchScorecard_ODI.asp?MatchCode=4336,2019-06-25
../Matches/MatchScorecard_ODI.asp?MatchCode=4331,2019-06-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4326,2019-06-18
../Matches/MatchScorecard_ODI.asp?MatchCode=4321,2019-06-14
../Matches/MatchScorecard_ODI.asp?MatchCode=4303,2019-05-30
../Matches/MatchScorecard_ODI.asp?MatchCode=4300,2019-05-19
../Matches/MatchScorecard_ODI.asp?MatchCode=4297,2019-05-17
../Matches/MatchScorecard_ODI.asp?MatchCode=4346,2019-03-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4308,2019-03-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4256,2019-02-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4255,2019-02-25
../Matches/MatchScorecard_ODI.asp?MatchCode=4254,2019-02-22
../Matches/MatchScorecard_ODI.asp?MatchCode=4253,2019-02-20
../Matches/MatchScorecard_ODI.asp?MatchCode=4260,2019-01-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4171,2018-12-07
../Matches/MatchScorecard_T20.asp?MatchCode=0721,2018-10-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4215,2018-10-23
../Matches/MatchScorecard_ODI.asp?MatchCode=4212,2018-10-20
../Matches/MatchScorecard_ODI.asp?MatchCode=4211,2018-10-17
../Matches/MatchScorecard_ODI.asp?MatchCode=4210,2018-10-13
../Matches/MatchScorecard_ODI.asp?MatchCode=4209,2018-10-10
../Matches/MatchScorecard_ODI.asp?MatchCode=4149,2018-10-03
../Matches/MatchScorecard_T20.asp?MatchCode=0661,2018-10-02
../Matches/MatchScorecard_T20.asp?MatchCode=0706,2018-08-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4175,2018-07-17
../Matches/MatchScorecard_ODI.asp?MatchCode=4173,2018-07-14
../Matches/MatchScorecard_T20.asp?MatchCode=0660,2018-07-02
../Matches/MatchScorecard_T20.asp?MatchCode=0694,2018-06-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4170,2018-06-24
../Matches/MatchScorecard_ODI.asp?MatchCode=4169,2018-06-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4168,2018-06-19
../Matches/MatchScorecard_ODI.asp?MatchCode=4167,2018-06-16
../Matches/MatchScorecard_ODI.asp?MatchCode=4166,2018-06-13
../Matches/MatchScorecard_T20.asp?MatchCode=0704,2018-06-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4146,2018-06-03
../Matches/MatchScorecard_T20.asp?MatchCode=0699,2018-03-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4139,2018-03-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4138,2018-02-28
../Matches/MatchScorecard_ODI.asp?MatchCode=4137,2018-02-25
../Matches/MatchScorecard_T20.asp?MatchCode=0665,2018-02-18
../Matches/MatchScorecard_T20.asp?MatchCode=0662,2018-02-13
../Matches/MatchScorecard_ODI.asp?MatchCode=4125,2018-01-28
../Matches/MatchScorecard_ODI.asp?MatchCode=4123,2018-01-26
../Matches/MatchScorecard_ODI.asp?MatchCode=4117,2018-01-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4115,2018-01-18
../Matches/MatchScorecard_ODI.asp?MatchCode=4108,2018-01-14
../Matches/MatchScorecard_ODI.asp?MatchCode=4041,2017-10-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4075,2017-09-29
../Matches/MatchScorecard_ODI.asp?MatchCode=4073,2017-09-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4072,2017-09-24
../Matches/MatchScorecard_ODI.asp?MatchCode=4070,2017-09-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4068,2017-09-19
../Matches/MatchScorecard_T20.asp?MatchCode=0633,2017-09-16
../Matches/MatchScorecard_ODI.asp?MatchCode=4005,2017-09-03
../Matches/MatchScorecard_T20.asp?MatchCode=0630,2017-06-25
../Matches/MatchScorecard_T20.asp?MatchCode=0629,2017-06-23
../Matches/MatchScorecard_T20.asp?MatchCode=0628,2017-06-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4045,2017-06-14
../Matches/MatchScorecard_ODI.asp?MatchCode=4036,2017-06-06
../Matches/MatchScorecard_ODI.asp?MatchCode=4030,2017-05-29
../Matches/MatchScorecard_ODI.asp?MatchCode=4029,2017-05-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4028,2017-05-24
../Matches/MatchScorecard_ODI.asp?MatchCode=4004,2017-05-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4001,2017-03-03
../Matches/MatchScorecard_T20.asp?MatchCode=0607,2017-01-29
../Matches/MatchScorecard_T20.asp?MatchCode=0606,2017-01-26
../Matches/MatchScorecard_ODI.asp?MatchCode=3978,2017-01-22
../Matches/MatchScorecard_ODI.asp?MatchCode=3976,2017-01-19
../Matches/MatchScorecard_ODI.asp?MatchCode=3974,2017-01-15
../Matches/MatchScorecard_ODI.asp?MatchCode=4031,2017-01-06
../Matches/MatchScorecard_T20.asp?MatchCode=0608,2017-01-02
../Matches/MatchScorecard_ODI.asp?MatchCode=3949,2016-12-10
../Matches/MatchScorecard_ODI.asp?MatchCode=3890,2016-12-02
../Matches/MatchScorecard_ODI.asp?MatchCode=3948,2016-09-10
../Matches/MatchScorecard_ODI.asp?MatchCode=3889,2016-09-02
../Matches/MatchScorecard_ODI.asp?MatchCode=3928,2016-08-30
../Matches/MatchScorecard_ODI.asp?MatchCode=3926,2016-08-27
../Matches/MatchScorecard_ODI.asp?MatchCode=3925,2016-08-24
../Matches/MatchScorecard_ODI.asp?MatchCode=3946,2016-07-10
../Matches/MatchScorecard_T20.asp?MatchCode=0580,2016-07-09
../Matches/MatchScorecard_ODI.asp?MatchCode=3910,2016-06-29
../Matches/MatchScorecard_ODI.asp?MatchCode=3908,2016-06-26
../Matches/MatchScorecard_ODI.asp?MatchCode=3906,2016-06-24
../Matches/MatchScorecard_ODI.asp?MatchCode=3904,2016-06-21
../Matches/MatchScorecard_ODI.asp?MatchCode=3887,2016-06-02
../Matches/MatchScorecard_T20.asp?MatchCode=0574,2016-05-07
../Matches/MatchScorecard_T20.asp?MatchCode=0568,2016-03-30
../Matches/MatchScorecard_T20.asp?MatchCode=0564,2016-03-26
../Matches/MatchScorecard_T20.asp?MatchCode=0559,2016-03-23
../Matches/MatchScorecard_T20.asp?MatchCode=0553,2016-03-18
../Matches/MatchScorecard_T20.asp?MatchCode=0550,2016-03-16
../Matches/MatchScorecard_T20.asp?MatchCode=0570,2016-03-04
../Matches/MatchScorecard_ODI.asp?MatchCode=3885,2016-03-02
../Matches/MatchScorecard_T20.asp?MatchCode=0518,2016-02-21
../Matches/MatchScorecard_T20.asp?MatchCode=0516,2016-02-19
../Matches/MatchScorecard_ODI.asp?MatchCode=3891,2016-02-14
../Matches/MatchScorecard_ODI.asp?MatchCode=3911,2016-02-07
../Matches/MatchScorecard_ODI.asp?MatchCode=3805,2015-12-06
../Matches/MatchScorecard_T20.asp?MatchCode=0486,2015-11-30
../Matches/MatchScorecard_T20.asp?MatchCode=0482,2015-11-27
../Matches/MatchScorecard_ODI.asp?MatchCode=3863,2015-11-20
../Matches/MatchScorecard_ODI.asp?MatchCode=3861,2015-11-17
../Matches/MatchScorecard_ODI.asp?MatchCode=3859,2015-11-13
../Matches/MatchScorecard_ODI.asp?MatchCode=3858,2015-11-11
../Matches/MatchScorecard_ODI.asp?MatchCode=3804,2015-09-06
../Matches/MatchScorecard_ODI.asp?MatchCode=3780,2015-09-03
../Matches/MatchScorecard_T20.asp?MatchCode=0465,2015-08-31
../Matches/MatchScorecard_ODI.asp?MatchCode=3807,2015-06-17
../Matches/MatchScorecard_ODI.asp?MatchCode=3806,2015-06-14
../Matches/MatchScorecard_ODI.asp?MatchCode=3831,2015-05-09
../Matches/MatchScorecard_ODI.asp?MatchCode=3785,2015-03-13
../Matches/MatchScorecard_ODI.asp?MatchCode=3830,2015-03-09
../Matches/MatchScorecard_ODI.asp?MatchCode=3761,2015-02-23
../Matches/MatchScorecard_ODI.asp?MatchCode=3756,2015-02-20
../Matches/MatchScorecard_ODI.asp?MatchCode=3749,2015-02-14
../Matches/MatchScorecard_ODI.asp?MatchCode=3744,2015-01-30
../Matches/MatchScorecard_ODI.asp?MatchCode=3738,2015-01-23
../Matches/MatchScorecard_ODI.asp?MatchCode=3735,2015-01-20
../Matches/MatchScorecard_ODI.asp?MatchCode=3727,2015-01-16
../Matches/MatchScorecard_ODI.asp?MatchCode=3769,2015-01-03
../Matches/MatchScorecard_ODI.asp?MatchCode=3746,2015-01-02
../Matches/MatchScorecard_ODI.asp?MatchCode=3718,2014-12-16
../Matches/MatchScorecard_ODI.asp?MatchCode=3716,2014-12-13
../Matches/MatchScorecard_ODI.asp?MatchCode=3599,2014-12-01
../Matches/MatchScorecard_ODI.asp?MatchCode=3706,2014-11-29
../Matches/MatchScorecard_ODI.asp?MatchCode=3703,2014-11-26
../Matches/MatchScorecard_T20.asp?MatchCode=0368,2014-11-03
../Matches/MatchScorecard_ODI.asp?MatchCode=3714,2014-10-12
../Matches/MatchScorecard_ODI.asp?MatchCode=3637,2014-09-05
../Matches/MatchScorecard_T20.asp?MatchCode=0367,2014-09-03
../Matches/MatchScorecard_ODI.asp?MatchCode=3667,2014-08-30
../Matches/MatchScorecard_ODI.asp?MatchCode=3664,2014-08-27
../Matches/MatchScorecard_ODI.asp?MatchCode=3712,2014-07-12
../Matches/MatchScorecard_T20.asp?MatchCode=0411,2014-07-09
../Matches/MatchScorecard_ODI.asp?MatchCode=3641,2014-05-31
../Matches/MatchScorecard_ODI.asp?MatchCode=3640,2014-05-28
../Matches/MatchScorecard_ODI.asp?MatchCode=3639,2014-05-25
../Matches/MatchScorecard_ODI.asp?MatchCode=3638,2014-05-22
../Matches/MatchScorecard_T20.asp?MatchCode=0407,2014-05-20
../Matches/MatchScorecard_ODI.asp?MatchCode=3672,2014-05-09
../Matches/MatchScorecard_ODI.asp?MatchCode=3629,2014-05-03
../Matches/MatchScorecard_T20.asp?MatchCode=0400,2014-03-31
