,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4410,2020-11-02
1,Matches/MatchScorecard_T20.asp?MatchCode=1070,2020-10-01
2,Matches/MatchScorecard_ODI.asp?MatchCode=4406,2020-08-02
3,Matches/MatchScorecard_T20.asp?MatchCode=1069,2020-07-01
4,Matches/MatchScorecard_ODI.asp?MatchCode=4402,2020-05-02
5,Matches/MatchScorecard_T20.asp?MatchCode=1068,2020-05-01
6,Matches/MatchScorecard_T20.asp?MatchCode=1081,2020-02-02
7,Matches/MatchScorecard_T20.asp?MatchCode=1080,2020-01-31
8,Matches/MatchScorecard_T20.asp?MatchCode=1079,2020-01-29
9,Matches/MatchScorecard_T20.asp?MatchCode=1077,2020-01-26
10,Matches/MatchScorecard_T20.asp?MatchCode=1074,2020-01-24
11,Matches/MatchScorecard_ODI.asp?MatchCode=4400,2020-01-19
12,Matches/MatchScorecard_ODI.asp?MatchCode=4399,2020-01-17
13,Matches/MatchScorecard_ODI.asp?MatchCode=4398,2020-01-14
14,Matches/MatchScorecard_ODI.asp?MatchCode=4268,2019-10-03
15,Matches/MatchScorecard_ODI.asp?MatchCode=4353,2019-09-07
16,Matches/MatchScorecard_ODI.asp?MatchCode=4316,2019-09-06
17,Matches/MatchScorecard_ODI.asp?MatchCode=4266,2019-08-03
18,Matches/MatchScorecard_ODI.asp?MatchCode=4342,2019-06-30
19,Matches/MatchScorecard_ODI.asp?MatchCode=4338,2019-06-27
20,Matches/MatchScorecard_ODI.asp?MatchCode=4332,2019-06-22
21,Matches/MatchScorecard_ODI.asp?MatchCode=4324,2019-06-16
22,Matches/MatchScorecard_ODI.asp?MatchCode=4350,2019-06-07
23,Matches/MatchScorecard_ODI.asp?MatchCode=4310,2019-05-06
24,Matches/MatchScorecard_ODI.asp?MatchCode=4263,2019-05-03
25,Matches/MatchScorecard_ODI.asp?MatchCode=4270,2019-03-13
26,Matches/MatchScorecard_T20.asp?MatchCode=0767,2019-02-27
27,Matches/MatchScorecard_T20.asp?MatchCode=0766,2019-02-24
28,Matches/MatchScorecard_ODI.asp?MatchCode=4345,2019-02-07
29,Matches/MatchScorecard_ODI.asp?MatchCode=4258,2019-02-03
30,Matches/MatchScorecard_T20.asp?MatchCode=0732,2018-11-25
31,Matches/MatchScorecard_T20.asp?MatchCode=0731,2018-11-23
32,Matches/MatchScorecard_T20.asp?MatchCode=0730,2018-11-21
33,Matches/MatchScorecard_ODI.asp?MatchCode=4220,2018-10-29
34,Matches/MatchScorecard_ODI.asp?MatchCode=4219,2018-10-27
35,Matches/MatchScorecard_ODI.asp?MatchCode=4130,2018-10-02
36,Matches/MatchScorecard_ODI.asp?MatchCode=4205,2018-09-28
37,Matches/MatchScorecard_ODI.asp?MatchCode=4201,2018-09-23
38,Matches/MatchScorecard_ODI.asp?MatchCode=4199,2018-09-21
39,Matches/MatchScorecard_ODI.asp?MatchCode=4197,2018-09-19
40,Matches/MatchScorecard_ODI.asp?MatchCode=4128,2018-07-02
41,Matches/MatchScorecard_T20.asp?MatchCode=0693,2018-06-27
42,Matches/MatchScorecard_T20.asp?MatchCode=0727,2018-06-11
43,Matches/MatchScorecard_T20.asp?MatchCode=0725,2018-04-11
44,Matches/MatchScorecard_ODI.asp?MatchCode=4127,2018-04-02
45,Matches/MatchScorecard_T20.asp?MatchCode=0670,2018-02-24
46,Matches/MatchScorecard_T20.asp?MatchCode=0667,2018-02-18
47,Matches/MatchScorecard_ODI.asp?MatchCode=4135,2018-02-16
48,Matches/MatchScorecard_ODI.asp?MatchCode=4133,2018-02-13
49,Matches/MatchScorecard_ODI.asp?MatchCode=4221,2018-01-11
50,Matches/MatchScorecard_ODI.asp?MatchCode=4126,2018-01-02
51,Matches/MatchScorecard_T20.asp?MatchCode=0649,2017-12-22
52,Matches/MatchScorecard_T20.asp?MatchCode=0648,2017-12-20
53,Matches/MatchScorecard_ODI.asp?MatchCode=4099,2017-12-17
54,Matches/MatchScorecard_ODI.asp?MatchCode=4098,2017-12-13
55,Matches/MatchScorecard_ODI.asp?MatchCode=4042,2017-11-06
