,matchid,date
0,Matches/MatchScorecard_ODI.asp?MatchCode=4408,2020-09-02
1,Matches/MatchScorecard_ODI.asp?MatchCode=4405,2020-07-02
2,Matches/MatchScorecard_ODI.asp?MatchCode=4401,2020-04-02
3,Matches/MatchScorecard_T20.asp?MatchCode=1091,2020-02-23
4,Matches/MatchScorecard_ODI.asp?MatchCode=4269,2019-10-03
5,Matches/MatchScorecard_T20.asp?MatchCode=0926,2019-09-22
6,Matches/MatchScorecard_T20.asp?MatchCode=0921,2019-09-18
7,Matches/MatchScorecard_ODI.asp?MatchCode=4264,2019-06-03
8,Matches/MatchScorecard_T20.asp?MatchCode=0743,2019-06-02
9,Matches/MatchScorecard_T20.asp?MatchCode=0781,2019-03-24
10,Matches/MatchScorecard_T20.asp?MatchCode=0776,2019-03-22
11,Matches/MatchScorecard_T20.asp?MatchCode=0773,2019-03-19
12,Matches/MatchScorecard_ODI.asp?MatchCode=4271,2019-03-13
13,Matches/MatchScorecard_ODI.asp?MatchCode=4261,2019-03-03
14,Matches/MatchScorecard_T20.asp?MatchCode=0741,2019-03-02
15,Matches/MatchScorecard_ODI.asp?MatchCode=4247,2019-01-30
16,Matches/MatchScorecard_ODI.asp?MatchCode=4244,2019-01-27
17,Matches/MatchScorecard_ODI.asp?MatchCode=4241,2019-01-25
18,Matches/MatchScorecard_ODI.asp?MatchCode=4238,2019-01-22
19,Matches/MatchScorecard_ODI.asp?MatchCode=4237,2019-01-19
20,Matches/MatchScorecard_T20.asp?MatchCode=0740,2019-01-02
21,Matches/MatchScorecard_ODI.asp?MatchCode=4188,2018-12-08
22,Matches/MatchScorecard_T20.asp?MatchCode=0729,2018-11-17
23,Matches/MatchScorecard_ODI.asp?MatchCode=4226,2018-11-11
24,Matches/MatchScorecard_ODI.asp?MatchCode=4206,2018-09-30
25,Matches/MatchScorecard_ODI.asp?MatchCode=4224,2018-09-11
26,Matches/MatchScorecard_T20.asp?MatchCode=0711,2018-08-14
27,Matches/MatchScorecard_ODI.asp?MatchCode=4187,2018-08-08
28,Matches/MatchScorecard_ODI.asp?MatchCode=4208,2018-06-10
29,Matches/MatchScorecard_ODI.asp?MatchCode=4186,2018-05-08
30,Matches/MatchScorecard_ODI.asp?MatchCode=4222,2018-04-11
31,Matches/MatchScorecard_ODI.asp?MatchCode=4207,2018-03-10
32,Matches/MatchScorecard_T20.asp?MatchCode=0670,2018-02-24
33,Matches/MatchScorecard_T20.asp?MatchCode=0669,2018-02-21
34,Matches/MatchScorecard_T20.asp?MatchCode=0667,2018-02-18
35,Matches/MatchScorecard_T20.asp?MatchCode=0630,2017-06-25
36,Matches/MatchScorecard_T20.asp?MatchCode=0629,2017-06-23
37,Matches/MatchScorecard_T20.asp?MatchCode=0628,2017-06-21
38,Matches/MatchScorecard_T20.asp?MatchCode=0605,2017-01-25
39,Matches/MatchScorecard_T20.asp?MatchCode=0422,2015-09-01
40,Matches/MatchScorecard_T20.asp?MatchCode=0424,2015-01-14
41,Matches/MatchScorecard_T20.asp?MatchCode=0415,2014-09-11
42,Matches/MatchScorecard_T20.asp?MatchCode=0414,2014-07-11
43,Matches/MatchScorecard_T20.asp?MatchCode=0413,2014-05-11
