matchid,date
../Matches/MatchScorecard_ODI.asp?MatchCode=4292,2019-11-05
../Matches/MatchScorecard_T20.asp?MatchCode=0770,2019-10-03
../Matches/MatchScorecard_T20.asp?MatchCode=0769,2019-08-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4300,2019-05-19
../Matches/MatchScorecard_ODI.asp?MatchCode=4294,2019-05-14
../Matches/MatchScorecard_T20.asp?MatchCode=0791,2019-05-05
../Matches/MatchScorecard_T20.asp?MatchCode=0768,2019-05-03
../Matches/MatchScorecard_ODI.asp?MatchCode=4284,2019-03-05
../Matches/MatchScorecard_ODI.asp?MatchCode=4171,2018-12-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4165,2018-10-06
../Matches/MatchScorecard_T20.asp?MatchCode=0661,2018-10-02
../Matches/MatchScorecard_T20.asp?MatchCode=0706,2018-08-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4175,2018-07-17
../Matches/MatchScorecard_ODI.asp?MatchCode=4173,2018-07-14
../Matches/MatchScorecard_T20.asp?MatchCode=0660,2018-07-02
../Matches/MatchScorecard_T20.asp?MatchCode=0694,2018-06-27
../Matches/MatchScorecard_ODI.asp?MatchCode=4169,2018-06-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4168,2018-06-19
../Matches/MatchScorecard_ODI.asp?MatchCode=4167,2018-06-16
../Matches/MatchScorecard_ODI.asp?MatchCode=4166,2018-06-13
../Matches/MatchScorecard_T20.asp?MatchCode=0704,2018-06-07
../Matches/MatchScorecard_T20.asp?MatchCode=0699,2018-03-07
../Matches/MatchScorecard_ODI.asp?MatchCode=4138,2018-02-28
../Matches/MatchScorecard_ODI.asp?MatchCode=4137,2018-02-25
../Matches/MatchScorecard_T20.asp?MatchCode=0665,2018-02-18
../Matches/MatchScorecard_T20.asp?MatchCode=0662,2018-02-13
../Matches/MatchScorecard_ODI.asp?MatchCode=4125,2018-01-28
../Matches/MatchScorecard_ODI.asp?MatchCode=4072,2017-09-24
../Matches/MatchScorecard_ODI.asp?MatchCode=4070,2017-09-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4068,2017-09-19
../Matches/MatchScorecard_T20.asp?MatchCode=0633,2017-09-16
../Matches/MatchScorecard_ODI.asp?MatchCode=4021,2017-07-05
../Matches/MatchScorecard_T20.asp?MatchCode=0630,2017-06-25
../Matches/MatchScorecard_T20.asp?MatchCode=0629,2017-06-23
../Matches/MatchScorecard_T20.asp?MatchCode=0628,2017-06-21
../Matches/MatchScorecard_ODI.asp?MatchCode=4030,2017-05-29
../Matches/MatchScorecard_ODI.asp?MatchCode=4020,2017-05-05
../Matches/MatchScorecard_ODI.asp?MatchCode=3978,2017-01-22
../Matches/MatchScorecard_ODI.asp?MatchCode=3976,2017-01-19
../Matches/MatchScorecard_ODI.asp?MatchCode=3974,2017-01-15
../Matches/MatchScorecard_ODI.asp?MatchCode=3948,2016-09-10
../Matches/MatchScorecard_ODI.asp?MatchCode=3889,2016-09-02
../Matches/MatchScorecard_ODI.asp?MatchCode=3946,2016-07-10
../Matches/MatchScorecard_T20.asp?MatchCode=0580,2016-07-09
../Matches/MatchScorecard_ODI.asp?MatchCode=3910,2016-06-29
../Matches/MatchScorecard_ODI.asp?MatchCode=3908,2016-06-26
../Matches/MatchScorecard_ODI.asp?MatchCode=3906,2016-06-24
../Matches/MatchScorecard_ODI.asp?MatchCode=3904,2016-06-21
../Matches/MatchScorecard_ODI.asp?MatchCode=3887,2016-06-02
../Matches/MatchScorecard_ODI.asp?MatchCode=3932,2016-04-09
../Matches/MatchScorecard_T20.asp?MatchCode=0568,2016-03-30
../Matches/MatchScorecard_T20.asp?MatchCode=0564,2016-03-26
../Matches/MatchScorecard_T20.asp?MatchCode=0559,2016-03-23
../Matches/MatchScorecard_T20.asp?MatchCode=0553,2016-03-18
../Matches/MatchScorecard_T20.asp?MatchCode=0550,2016-03-16
../Matches/MatchScorecard_T20.asp?MatchCode=0570,2016-03-04
../Matches/MatchScorecard_ODI.asp?MatchCode=3885,2016-03-02
../Matches/MatchScorecard_T20.asp?MatchCode=0516,2016-02-19
../Matches/MatchScorecard_ODI.asp?MatchCode=3911,2016-02-07
../Matches/MatchScorecard_ODI.asp?MatchCode=3930,2016-01-09
../Matches/MatchScorecard_ODI.asp?MatchCode=3834,2015-12-09
../Matches/MatchScorecard_T20.asp?MatchCode=0486,2015-11-30
../Matches/MatchScorecard_T20.asp?MatchCode=0482,2015-11-27
../Matches/MatchScorecard_ODI.asp?MatchCode=3863,2015-11-20
../Matches/MatchScorecard_ODI.asp?MatchCode=3861,2015-11-17
../Matches/MatchScorecard_ODI.asp?MatchCode=3859,2015-11-13
../Matches/MatchScorecard_ODI.asp?MatchCode=3858,2015-11-11
../Matches/MatchScorecard_ODI.asp?MatchCode=3833,2015-11-09
../Matches/MatchScorecard_T20.asp?MatchCode=0465,2015-08-31
../Matches/MatchScorecard_ODI.asp?MatchCode=3800,2015-08-05
../Matches/MatchScorecard_T20.asp?MatchCode=0432,2015-06-23
../Matches/MatchScorecard_ODI.asp?MatchCode=3809,2015-06-20
../Matches/MatchScorecard_ODI.asp?MatchCode=3807,2015-06-17
../Matches/MatchScorecard_ODI.asp?MatchCode=3806,2015-06-14
