matchid,date
Matches/MatchScorecard_T20.asp?MatchCode=1122,2020-03-06
Matches/MatchScorecard_T20.asp?MatchCode=1119,2020-03-04
Matches/MatchScorecard_ODI.asp?MatchCode=4414,2020-02-26
Matches/MatchScorecard_ODI.asp?MatchCode=4417,2020-03-01
Matches/MatchScorecard_T20.asp?MatchCode=1057,2019-11-14
Matches/MatchScorecard_ODI.asp?MatchCode=4291,2019-05-11
Matches/MatchScorecard_T20.asp?MatchCode=0770,2019-03-10
Matches/MatchScorecard_ODI.asp?MatchCode=4362,2019-08-14
Matches/MatchScorecard_ODI.asp?MatchCode=4359,2019-08-08
Matches/MatchScorecard_T20.asp?MatchCode=0769,2019-03-08
Matches/MatchScorecard_ODI.asp?MatchCode=4338,2019-06-27
Matches/MatchScorecard_T20.asp?MatchCode=0877,2019-08-06
Matches/MatchScorecard_ODI.asp?MatchCode=4296,2019-05-17
Matches/MatchScorecard_ODI.asp?MatchCode=4293,2019-05-13
Matches/MatchScorecard_T20.asp?MatchCode=0768,2019-03-05
Matches/MatchScorecard_ODI.asp?MatchCode=4348,2019-07-04
Matches/MatchScorecard_ODI.asp?MatchCode=4344,2019-07-01
Matches/MatchScorecard_T20.asp?MatchCode=0735,2018-12-22
Matches/MatchScorecard_T20.asp?MatchCode=0734,2018-12-20
Matches/MatchScorecard_T20.asp?MatchCode=0733,2018-12-17
Matches/MatchScorecard_ODI.asp?MatchCode=4230,2018-12-14
Matches/MatchScorecard_T20.asp?MatchCode=0728,2018-11-11
Matches/MatchScorecard_ODI.asp?MatchCode=4220,2018-10-29
Matches/MatchScorecard_ODI.asp?MatchCode=4219,2018-10-27
Matches/MatchScorecard_T20.asp?MatchCode=0727,2018-11-06
Matches/MatchScorecard_T20.asp?MatchCode=0725,2018-11-04
Matches/MatchScorecard_ODI.asp?MatchCode=4221,2018-11-01
