match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_T20.asp?MatchCode=0102,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3741,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3603,1,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3601,5,bSouthee,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3588,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3587,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3457,6,c&amp;bSaeedAjmal,33.33,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3524,2,c†SangakkarabHerath,28.57,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3470,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3468,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3463,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3461,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3045,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3042,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3040,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3028,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3046,3,notout,37.50,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3878,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3877,0,c†WadebMarsh,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3876,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3875,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3564,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3563,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3562,1,notout,33.33,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0335,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2833,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3692,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3689,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3688,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3530,2,notout,28.57,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3510,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3459,8,notout,140.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3529,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3521,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3519,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3518,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3514,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3505,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3525,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3456,2,bJunaidKhan,16.67,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3455,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0301,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3298,0,bRussell,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3297,0,st†BaughbMartin,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0299,0,bUmarGul,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3171,0,bPerera,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3170,9,notout,66.67,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=3169,3,bPerera,12.50,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3163,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0129,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3014,15,csubbMendis,48.15,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0106,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3013,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2946,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0083,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3025,0,bNaved-ul-Hasan,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=3016,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0128,6,notout,250.00,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=2940,4,bMaharoof,66.67,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2975,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0114,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0110,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0094,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2978,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2937,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2947,3,cTaylorbO'Brien,42.86,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2977,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2935,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0086,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0085,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2932,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2928,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2788,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2905,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2903,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2900,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2817,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2787,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2829,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2819,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2847,9,bKulasekara,44.44,1,0
Matches/MatchScorecard_ODI.asp?MatchCode=2784,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2844,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2782,1,notout,100.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2798,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2797,2,bLee,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2793,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2792,2,notout,20.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2842,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=2800,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0052,3,notout,50.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=2701,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3065,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=3064,-,dnb,-,-,-
