match_id,score,how dismissed,strike rate,4s,6s
Matches/MatchScorecard_T20.asp?MatchCode=0602,0,c†MohammadShahzadbKarimJanat,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0601,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0597,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0592,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4010,0,notout,0.00,0,0
Matches/MatchScorecard_ODI.asp?MatchCode=4009,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4006,17,notout,136.36,2,0
Matches/MatchScorecard_T20.asp?MatchCode=0615,0,notout,0.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0614,5,notout,100.00,0,0
Matches/MatchScorecard_T20.asp?MatchCode=0613,-,dnb,-,-,-
Matches/MatchScorecard_ODI.asp?MatchCode=4003,-,dnb,-,-,-
Matches/MatchScorecard_T20.asp?MatchCode=0577,1,bAizazKhan,20.00,0,0
